DateTime,ambient_temperature (°C),irradiance (W/m²),humidity (%),device_temperature (°C),output_current (A),output_voltage (V),power_output (W),power_output_type
2024-10-16 18:00:00,22.82,792.71,76.09,34.40,15.19,34.94,"1,124.32",Solar Panel output
2024-10-16 19:00:00,36.04,563.96,83.82,28.53,27.16,14.55,113.56,Battery output
2024-10-16 20:00:00,21.49,970.52,77.70,30.86,6.18,25.02,327.90,Charge Controller to battery
2024-10-16 21:00:00,39.74,490.63,67.20,30.15,29.04,31.25,800.52,Charge Controller to inverter
2024-10-16 22:00:00,35.44,659.40,76.92,59.06,21.98,47.86,"1,350.05",Solar Panel output
2024-10-16 23:00:00,23.97,966.17,61.02,51.58,20.78,29.08,"1,212.24",Battery output
2024-10-17 00:00:00,20.11,651.84,62.25,58.87,11.76,41.38,"1,222.70",Charge Controller to inverter
2024-10-17 01:00:00,36.31,783.12,81.56,40.39,11.22,27.55,478.43,Charge Controller to battery
2024-10-17 02:00:00,34.14,638.56,67.86,34.74,28.55,40.67,652.64,Charge Controller to battery
2024-10-17 03:00:00,34.58,564.53,81.94,52.94,12.46,33.43,709.57,Battery output
2024-10-17 04:00:00,35.43,990.39,82.90,36.42,24.39,43.92,277.17,Charge Controller to battery
2024-10-17 05:00:00,21.48,645.60,84.30,35.48,14.83,26.79,102.87,Solar Panel output
2024-10-17 06:00:00,27.17,936.46,86.67,33.14,8.48,33.75,"1,366.73",Battery output
2024-10-17 07:00:00,22.32,537.97,67.24,29.54,5.27,34.68,392.18,Charge Controller to inverter
2024-10-17 08:00:00,37.26,527.86,62.75,33.98,18.61,27.03,391.13,Battery output
2024-10-17 09:00:00,32.47,418.68,73.29,37.44,29.39,17.20,175.06,Battery output
2024-10-17 10:00:00,26.62,791.00,64.85,48.59,14.23,15.37,"1,341.34",Charge Controller to inverter
2024-10-17 11:00:00,21.27,621.12,74.04,27.19,13.93,12.60,860.04,Charge Controller to battery
2024-10-17 12:00:00,26.22,918.61,78.22,32.37,13.60,43.45,980.51,Charge Controller to inverter
2024-10-17 13:00:00,26.50,683.93,77.54,53.32,18.01,20.51,"1,317.98",Solar Panel output
2024-10-17 14:00:00,34.59,980.92,64.98,30.14,16.02,19.61,536.96,Charge Controller to battery
2024-10-17 15:00:00,32.75,511.32,56.67,36.99,27.00,38.50,917.68,Battery output
2024-10-17 16:00:00,37.74,921.17,67.22,55.26,17.64,23.52,113.54,Charge Controller to battery
2024-10-17 17:00:00,29.44,865.96,55.70,30.42,17.69,30.22,317.75,Charge Controller to battery
2024-10-17 18:00:00,22.39,862.55,85.60,27.90,8.46,17.85,"1,207.12",Solar Panel output
2024-10-17 19:00:00,34.26,906.87,63.84,41.96,29.57,46.55,"1,118.14",Charge Controller to battery
2024-10-17 20:00:00,35.22,856.61,56.18,35.58,11.25,42.66,543.89,Charge Controller to battery
2024-10-17 21:00:00,31.23,775.73,51.02,44.72,6.83,43.10,580.00,Charge Controller to battery
2024-10-17 22:00:00,35.42,478.75,75.83,53.13,21.58,26.64,796.31,Battery output
2024-10-17 23:00:00,29.88,419.52,75.48,29.80,19.88,39.45,60.33,Charge Controller to battery
2024-10-18 00:00:00,30.45,952.51,63.62,45.32,15.38,17.18,392.92,Charge Controller to inverter
2024-10-18 01:00:00,28.55,769.99,52.87,42.69,15.55,12.31,347.36,Charge Controller to battery
2024-10-18 02:00:00,20.51,877.92,66.39,30.04,24.63,12.72,405.67,Solar Panel output
2024-10-18 03:00:00,22.16,688.91,62.45,46.84,9.89,33.12,"1,172.15",Charge Controller to battery
2024-10-18 04:00:00,20.63,470.38,77.08,34.58,25.51,28.39,445.95,Charge Controller to battery
2024-10-18 05:00:00,32.73,475.11,74.23,42.07,21.22,30.65,324.30,Battery output
2024-10-18 06:00:00,26.29,811.34,64.58,27.88,15.47,12.27,755.88,Charge Controller to inverter
2024-10-18 07:00:00,30.17,658.18,58.72,41.09,16.45,27.22,"1,254.59",Charge Controller to battery
2024-10-18 08:00:00,38.15,520.31,89.52,35.73,11.42,37.85,393.06,Charge Controller to inverter
2024-10-18 09:00:00,24.99,694.96,68.16,53.78,23.80,27.94,168.38,Solar Panel output
2024-10-18 10:00:00,28.21,438.53,77.53,26.99,17.82,38.36,551.84,Battery output
2024-10-18 11:00:00,35.11,749.18,55.62,39.65,13.02,20.39,"1,091.76",Charge Controller to inverter
2024-10-18 12:00:00,24.58,561.40,69.42,41.05,19.90,41.27,819.95,Battery output
2024-10-18 13:00:00,21.54,878.54,51.10,50.38,29.89,33.18,"1,187.17",Charge Controller to battery
2024-10-18 14:00:00,25.80,586.22,70.22,45.10,15.88,19.59,"1,384.24",Solar Panel output
2024-10-18 15:00:00,23.22,673.13,88.56,48.35,28.02,20.52,"1,153.87",Battery output
2024-10-18 16:00:00,38.59,406.97,65.37,52.20,13.63,34.61,893.25,Charge Controller to battery
2024-10-18 17:00:00,36.16,443.47,51.56,55.18,6.37,41.88,740.81,Charge Controller to inverter
2024-10-18 18:00:00,32.67,635.50,51.24,35.99,10.11,26.96,115.30,Solar Panel output
2024-10-18 19:00:00,37.43,687.96,65.52,43.83,15.47,21.30,"1,418.36",Solar Panel output
2024-10-18 20:00:00,36.07,760.01,56.40,54.40,10.49,43.21,589.20,Charge Controller to inverter
2024-10-18 21:00:00,23.73,575.00,50.93,59.63,5.01,36.09,270.07,Charge Controller to inverter
2024-10-18 22:00:00,37.85,816.99,80.25,56.13,27.88,28.13,980.06,Solar Panel output
2024-10-18 23:00:00,30.79,916.07,68.34,38.00,26.10,29.56,452.32,Battery output
2024-10-19 00:00:00,36.15,867.91,61.57,31.83,23.56,19.35,868.37,Solar Panel output
2024-10-19 01:00:00,37.92,423.77,86.00,42.13,9.20,34.56,869.74,Charge Controller to inverter
2024-10-19 02:00:00,26.36,688.30,54.65,50.96,8.01,24.91,675.11,Battery output
2024-10-19 03:00:00,22.20,462.96,88.24,42.24,6.69,47.84,"1,213.84",Charge Controller to battery
2024-10-19 04:00:00,24.56,545.23,62.56,41.91,23.10,29.29,425.65,Solar Panel output
2024-10-19 05:00:00,28.54,992.00,85.54,54.34,28.22,29.49,679.11,Charge Controller to inverter
2024-10-19 06:00:00,36.36,485.50,74.12,37.65,15.76,32.37,802.02,Charge Controller to battery
2024-10-19 07:00:00,37.21,699.33,83.07,55.09,7.98,45.00,975.80,Solar Panel output
2024-10-19 08:00:00,20.14,770.89,89.36,39.24,17.81,40.83,"1,141.88",Solar Panel output
2024-10-19 09:00:00,30.21,821.48,61.54,36.49,13.72,28.24,604.83,Battery output
2024-10-19 10:00:00,28.35,735.79,88.45,40.89,14.37,37.87,951.54,Charge Controller to inverter
2024-10-19 11:00:00,24.44,405.86,65.58,51.69,20.53,33.10,267.84,Charge Controller to battery
2024-10-19 12:00:00,22.40,595.88,65.42,29.41,22.97,29.73,"1,347.05",Solar Panel output
2024-10-19 13:00:00,26.75,710.63,63.62,31.87,7.77,18.92,588.62,Battery output
2024-10-19 14:00:00,38.86,452.72,71.66,58.30,5.89,28.70,"1,066.74",Charge Controller to battery
2024-10-19 15:00:00,26.46,610.38,56.17,31.14,29.86,20.85,88.07,Charge Controller to battery
2024-10-19 16:00:00,30.38,419.92,72.15,44.87,10.82,44.93,343.16,Solar Panel output
2024-10-19 17:00:00,34.06,447.15,71.67,45.28,6.35,24.07,732.17,Charge Controller to battery
2024-10-19 18:00:00,27.27,638.15,80.48,42.14,9.75,46.28,"1,271.99",Solar Panel output
2024-10-19 19:00:00,39.44,479.63,83.35,47.57,5.97,31.19,787.61,Battery output
2024-10-19 20:00:00,39.25,740.52,67.62,33.04,14.80,34.74,"1,343.22",Battery output
2024-10-19 21:00:00,25.04,813.68,62.09,44.34,25.06,31.55,727.64,Charge Controller to battery
2024-10-19 22:00:00,29.94,880.35,60.37,38.03,13.53,16.66,736.82,Solar Panel output
2024-10-19 23:00:00,26.02,520.09,57.78,48.16,16.10,25.53,225.25,Charge Controller to inverter
2024-10-20 00:00:00,25.70,500.49,52.31,29.94,21.89,15.57,"1,167.67",Battery output
2024-10-20 01:00:00,20.74,462.74,63.70,44.98,17.72,34.43,400.81,Solar Panel output
2024-10-20 02:00:00,32.19,781.86,60.81,31.48,26.54,28.09,"1,301.47",Solar Panel output
2024-10-20 03:00:00,30.05,823.89,88.66,34.75,26.65,40.01,"1,316.94",Solar Panel output
2024-10-20 04:00:00,21.03,418.95,72.31,32.65,5.25,19.94,"1,361.77",Charge Controller to battery
2024-10-20 05:00:00,25.57,961.73,63.89,31.40,24.45,17.92,777.92,Charge Controller to inverter
2024-10-20 06:00:00,38.17,431.18,73.22,53.90,16.52,26.63,994.39,Charge Controller to battery
2024-10-20 07:00:00,24.79,724.78,55.57,35.00,29.72,45.36,"1,134.35",Battery output
2024-10-20 08:00:00,22.90,825.44,67.76,57.45,17.08,37.58,240.80,Charge Controller to battery
2024-10-20 09:00:00,29.79,922.58,75.05,58.95,29.67,27.08,889.32,Solar Panel output
2024-10-20 10:00:00,39.71,828.45,69.56,44.99,23.86,30.62,107.33,Charge Controller to battery
2024-10-20 11:00:00,24.84,881.04,66.07,30.01,11.22,15.03,746.64,Solar Panel output
2024-10-20 12:00:00,33.44,603.67,89.75,38.11,18.46,47.44,273.68,Charge Controller to inverter
2024-10-20 13:00:00,35.23,888.90,85.21,52.92,29.80,35.99,312.43,Charge Controller to battery
2024-10-20 14:00:00,24.75,448.07,74.94,37.86,26.44,22.27,563.77,Charge Controller to battery
2024-10-20 15:00:00,34.56,936.89,72.78,28.05,7.43,33.09,656.76,Charge Controller to battery
2024-10-20 16:00:00,27.36,728.56,74.83,44.49,22.66,15.94,919.98,Solar Panel output
2024-10-20 17:00:00,32.65,890.38,58.05,54.58,13.64,46.77,162.71,Solar Panel output
2024-10-20 18:00:00,32.67,671.39,65.81,52.86,5.17,18.29,755.09,Charge Controller to battery
2024-10-20 19:00:00,30.72,786.15,51.58,31.13,15.09,35.33,312.02,Charge Controller to battery
2024-10-20 20:00:00,21.81,715.84,69.02,48.55,10.87,20.84,852.09,Charge Controller to inverter
2024-10-20 21:00:00,36.71,838.95,71.72,32.72,25.47,37.83,939.62,Charge Controller to inverter
2024-10-20 22:00:00,26.42,448.98,59.11,32.64,13.43,39.97,828.26,Battery output
2024-10-20 23:00:00,23.73,436.21,88.56,55.59,25.69,36.24,"1,078.85",Charge Controller to inverter
2024-10-21 00:00:00,20.82,548.26,86.38,33.74,5.01,34.12,523.14,Charge Controller to inverter
2024-10-21 01:00:00,31.82,495.73,78.89,34.21,12.70,44.13,"1,115.85",Charge Controller to inverter
2024-10-21 02:00:00,33.55,923.07,71.34,25.02,11.03,14.83,657.22,Solar Panel output
2024-10-21 03:00:00,20.33,531.53,84.80,55.47,10.84,23.91,728.17,Charge Controller to inverter
2024-10-21 04:00:00,30.24,985.52,55.23,52.74,6.70,20.94,954.38,Charge Controller to inverter
2024-10-21 05:00:00,24.53,602.14,81.62,46.96,9.68,47.57,85.33,Charge Controller to battery
2024-10-21 06:00:00,32.90,509.27,54.99,51.26,18.89,26.02,962.51,Solar Panel output
2024-10-21 07:00:00,23.49,873.82,81.77,30.32,12.28,38.37,913.65,Battery output
2024-10-21 08:00:00,33.82,795.22,61.03,41.04,15.43,36.65,487.59,Battery output
2024-10-21 09:00:00,27.73,698.92,85.08,37.29,14.42,19.63,178.40,Charge Controller to inverter
2024-10-21 10:00:00,38.73,733.22,87.76,28.28,26.90,20.60,185.49,Battery output
2024-10-21 11:00:00,22.75,831.52,55.95,42.01,27.63,22.13,"1,334.05",Battery output
2024-10-21 12:00:00,26.82,537.07,68.51,57.23,17.32,26.80,"1,011.21",Battery output
2024-10-21 13:00:00,22.27,997.80,89.24,26.40,13.25,20.44,235.40,Charge Controller to inverter
2024-10-21 14:00:00,38.49,984.88,69.34,35.20,7.67,12.71,552.28,Battery output
2024-10-21 15:00:00,37.55,790.20,84.54,32.26,28.84,43.66,877.63,Charge Controller to inverter
2024-10-21 16:00:00,25.16,519.73,73.55,33.34,6.51,46.76,"1,213.09",Charge Controller to battery
2024-10-21 17:00:00,33.20,808.14,65.01,56.80,12.44,24.30,120.25,Charge Controller to battery
2024-10-21 18:00:00,36.34,443.32,61.43,41.38,12.45,24.19,386.55,Battery output
2024-10-21 19:00:00,31.10,418.39,58.13,41.32,13.01,12.26,"1,287.85",Charge Controller to battery
2024-10-21 20:00:00,30.59,554.61,80.47,51.62,9.11,36.49,72.65,Charge Controller to inverter
2024-10-21 21:00:00,24.84,677.57,65.46,30.41,24.58,41.72,337.93,Charge Controller to battery
2024-10-21 22:00:00,21.86,920.96,70.45,42.05,8.06,17.28,"1,383.45",Battery output
2024-10-21 23:00:00,37.94,836.30,69.69,40.05,20.87,17.75,906.49,Charge Controller to inverter
2024-10-22 00:00:00,38.01,845.62,73.09,45.89,8.10,40.44,421.11,Solar Panel output
2024-10-22 01:00:00,32.66,655.30,84.62,59.98,6.76,34.19,152.45,Charge Controller to inverter
2024-10-22 02:00:00,26.78,607.56,89.23,51.93,27.74,13.61,98.90,Charge Controller to battery
2024-10-22 03:00:00,26.98,622.62,66.30,38.93,9.75,34.41,397.75,Solar Panel output
2024-10-22 04:00:00,34.52,992.59,83.10,53.96,25.53,23.12,"1,276.45",Charge Controller to inverter
2024-10-22 05:00:00,37.94,424.07,80.58,30.97,18.62,25.27,633.96,Solar Panel output
2024-10-22 06:00:00,37.74,920.22,72.94,26.07,6.95,39.71,"1,054.06",Solar Panel output
2024-10-22 07:00:00,35.60,747.21,88.24,32.16,28.89,41.19,"1,327.23",Solar Panel output
2024-10-22 08:00:00,32.84,663.17,58.02,36.91,11.17,26.41,623.10,Charge Controller to inverter
2024-10-22 09:00:00,21.68,835.15,54.37,42.87,26.49,46.10,323.96,Charge Controller to battery
2024-10-22 10:00:00,23.23,692.00,84.16,46.53,9.22,26.63,773.62,Charge Controller to inverter
2024-10-22 11:00:00,37.97,924.05,67.57,56.87,26.35,39.79,"1,313.16",Charge Controller to battery
2024-10-22 12:00:00,32.13,940.42,83.88,42.84,5.33,29.42,"1,170.04",Charge Controller to inverter
2024-10-22 13:00:00,20.18,653.03,85.72,42.54,17.79,44.31,150.85,Charge Controller to inverter
2024-10-22 14:00:00,22.03,566.10,52.50,26.76,24.24,44.68,"1,015.75",Charge Controller to inverter
2024-10-22 15:00:00,33.27,755.41,85.34,26.22,28.37,15.15,849.22,Charge Controller to battery
2024-10-22 16:00:00,20.10,947.42,67.93,44.29,27.73,45.71,"1,312.30",Charge Controller to inverter
2024-10-22 17:00:00,23.22,526.40,70.42,40.34,25.49,41.72,229.02,Solar Panel output
2024-10-22 18:00:00,30.97,773.78,75.06,54.37,27.20,40.49,796.97,Charge Controller to inverter
2024-10-22 19:00:00,33.84,778.94,87.06,30.62,9.98,19.23,"1,273.66",Solar Panel output
2024-10-22 20:00:00,33.04,839.87,50.76,25.87,12.10,40.98,625.83,Battery output
2024-10-22 21:00:00,24.49,478.94,69.07,40.72,12.22,42.60,725.15,Battery output
2024-10-22 22:00:00,34.24,829.49,77.51,33.31,14.43,22.41,157.24,Charge Controller to battery
2024-10-22 23:00:00,24.74,945.42,78.91,26.74,14.83,46.28,443.84,Charge Controller to battery
2024-10-23 00:00:00,26.51,507.81,77.70,50.36,18.61,13.79,507.82,Battery output
2024-10-23 01:00:00,34.93,542.53,55.38,28.91,9.00,17.40,"1,364.27",Charge Controller to inverter
2024-10-23 02:00:00,32.99,982.84,61.98,46.29,22.28,31.35,450.08,Charge Controller to inverter
2024-10-23 03:00:00,36.98,508.59,64.35,34.84,9.19,32.73,696.00,Charge Controller to inverter
2024-10-23 04:00:00,33.15,912.63,82.18,31.07,12.76,35.23,986.40,Battery output
2024-10-23 05:00:00,31.37,695.37,61.15,38.29,17.58,12.61,283.81,Solar Panel output
2024-10-23 06:00:00,21.87,548.34,58.43,53.05,24.91,46.57,731.29,Charge Controller to battery
2024-10-23 07:00:00,27.35,922.45,88.30,38.72,23.49,13.61,"1,079.18",Solar Panel output
2024-10-23 08:00:00,25.30,667.18,50.35,51.28,21.14,17.15,"1,256.26",Battery output
2024-10-23 09:00:00,24.88,708.89,89.91,29.39,8.89,12.50,924.24,Solar Panel output
2024-10-23 10:00:00,39.46,615.54,77.07,52.05,18.68,32.41,983.29,Charge Controller to inverter
2024-10-23 11:00:00,27.86,755.77,83.14,33.29,7.19,45.56,234.27,Charge Controller to inverter
2024-10-23 12:00:00,37.84,498.11,61.78,48.71,14.43,35.97,"1,365.17",Solar Panel output
2024-10-23 13:00:00,32.62,634.65,50.57,44.80,15.34,41.62,242.95,Battery output
2024-10-23 14:00:00,35.90,981.65,79.51,57.52,6.00,12.48,"1,129.05",Solar Panel output
2024-10-23 15:00:00,30.05,554.88,83.37,38.56,11.85,31.51,425.45,Charge Controller to inverter
2024-10-23 16:00:00,31.54,794.04,79.62,27.32,28.89,28.54,"1,348.36",Charge Controller to inverter
2024-10-23 17:00:00,29.85,595.11,55.71,25.67,28.84,29.96,"1,053.54",Battery output
2024-10-23 18:00:00,23.90,864.08,80.14,53.94,13.81,14.60,"1,100.26",Solar Panel output
2024-10-23 19:00:00,34.45,478.52,80.76,43.37,6.08,36.64,362.30,Charge Controller to inverter
2024-10-23 20:00:00,25.62,981.89,76.34,52.13,9.48,30.12,671.40,Charge Controller to inverter
2024-10-23 21:00:00,20.49,672.27,80.64,33.20,14.81,39.55,912.58,Solar Panel output
2024-10-23 22:00:00,32.91,541.63,83.84,37.08,28.69,29.47,"1,122.56",Solar Panel output
2024-10-23 23:00:00,23.54,444.10,74.54,26.05,8.53,17.38,203.46,Charge Controller to battery
2024-10-24 00:00:00,38.81,501.85,53.54,58.65,24.09,35.34,"1,388.06",Battery output
2024-10-24 01:00:00,39.08,711.86,69.51,48.38,7.72,18.21,"1,288.50",Battery output
2024-10-24 02:00:00,38.30,602.20,53.11,57.66,29.53,43.41,433.08,Solar Panel output
2024-10-24 03:00:00,27.40,897.33,66.30,34.29,14.54,34.07,"1,195.41",Battery output
2024-10-24 04:00:00,20.31,658.53,66.28,46.40,24.38,17.66,775.29,Charge Controller to inverter
2024-10-24 05:00:00,38.57,549.23,52.64,48.75,13.56,46.64,697.29,Solar Panel output
2024-10-24 06:00:00,28.56,770.29,63.95,36.11,20.69,30.66,493.92,Solar Panel output
2024-10-24 07:00:00,39.33,824.07,54.44,54.68,9.80,14.62,861.74,Solar Panel output
2024-10-24 08:00:00,39.27,500.23,82.33,58.15,8.65,34.57,"1,067.25",Charge Controller to battery
2024-10-24 09:00:00,37.06,500.57,87.91,55.97,28.45,21.12,627.09,Battery output
2024-10-24 10:00:00,25.89,422.00,52.89,50.87,27.94,40.93,928.32,Charge Controller to battery
2024-10-24 11:00:00,27.70,841.84,88.20,34.71,27.19,41.44,"1,025.05",Charge Controller to inverter
2024-10-24 12:00:00,37.02,798.28,70.90,34.86,20.64,47.24,"1,041.35",Battery output
2024-10-24 13:00:00,26.34,684.78,61.98,58.72,25.21,30.07,131.71,Charge Controller to battery
2024-10-24 14:00:00,23.39,906.50,53.07,25.36,6.73,28.38,"1,246.45",Solar Panel output
2024-10-24 15:00:00,31.14,883.40,70.02,50.06,13.37,39.13,692.39,Charge Controller to battery
2024-10-24 16:00:00,38.72,751.21,81.78,49.72,12.84,16.77,422.13,Solar Panel output
2024-10-24 17:00:00,33.92,920.96,78.28,46.79,20.89,31.69,393.64,Charge Controller to battery
2024-10-24 18:00:00,31.40,523.50,52.01,59.65,13.90,31.66,726.56,Charge Controller to battery
2024-10-24 19:00:00,21.94,467.15,52.92,35.92,8.71,15.22,"1,283.83",Charge Controller to battery
2024-10-24 20:00:00,32.30,561.85,66.11,36.90,19.91,27.05,582.12,Solar Panel output
2024-10-24 21:00:00,39.80,434.25,61.81,27.76,25.36,42.72,"1,094.62",Charge Controller to battery
2024-10-24 22:00:00,22.80,718.70,59.30,40.50,14.55,42.82,193.61,Battery output
2024-10-24 23:00:00,30.37,961.96,61.24,34.14,8.31,15.57,716.96,Battery output
2024-10-25 00:00:00,37.55,423.61,82.14,37.02,9.92,15.27,"1,428.53",Battery output
2024-10-25 01:00:00,34.82,473.27,87.17,54.21,10.94,21.46,"1,123.20",Solar Panel output
2024-10-25 02:00:00,33.94,671.32,66.20,57.74,12.50,43.49,350.53,Solar Panel output
2024-10-25 03:00:00,34.05,960.33,86.24,31.50,21.07,16.64,751.99,Battery output
2024-10-25 04:00:00,27.19,589.69,62.86,38.04,20.02,37.92,382.40,Battery output
2024-10-25 05:00:00,25.87,704.34,69.06,57.50,22.40,15.64,625.19,Battery output
2024-10-25 06:00:00,36.19,424.94,59.04,27.16,14.06,34.43,"1,136.52",Charge Controller to inverter
2024-10-25 07:00:00,36.20,489.01,75.62,28.23,25.60,24.82,"1,124.29",Battery output
2024-10-25 08:00:00,37.34,991.98,89.16,30.70,10.10,40.40,374.78,Charge Controller to battery
2024-10-25 09:00:00,38.26,979.07,74.14,45.83,16.73,20.41,"1,332.67",Charge Controller to inverter
